MJD, counts, counts_err
5.759069461297147791e+04,8.533309999999999507e-01,1.927750000000000019e-01
5.759069496019368671e+04,7.663309999999999844e-01,1.822380000000000111e-01
5.759069530741591734e+04,1.452649999999999997e+00,2.510510000000000241e-01
5.759069565463814070e+04,7.670649999999999968e-01,1.826679999999999970e-01
5.759069600186035677e+04,1.020809999999999995e+00,2.111750000000000016e-01
5.759069634908258740e+04,1.152849999999999930e+00,2.239839999999999887e-01
5.759069669630480348e+04,9.745110000000000161e-01,2.067279999999999951e-01
5.759069704352702684e+04,6.336319999999999730e-01,1.667520000000000113e-01
5.759069739074925019e+04,1.618370000000000086e+00,2.657209999999999850e-01
5.759069773797147354e+04,1.102919999999999900e+00,2.195380000000000109e-01
5.759069808519369690e+04,1.408490000000000020e+00,2.479159999999999975e-01
5.759069843241591298e+04,1.287779999999999925e+00,2.355440000000000034e-01
5.759069877963814361e+04,1.633080000000000087e+00,2.657209999999999850e-01
5.759069912686035968e+04,1.438609999999999944e+00,2.507559999999999789e-01
5.759069947408258304e+04,1.283339999999999925e+00,2.361000000000000043e-01
5.759069982130480639e+04,9.041500000000000092e-01,1.970709999999999962e-01
5.759070016852702247e+04,1.338419999999999943e+00,2.400029999999999941e-01
5.759070051574925310e+04,1.452919999999999989e+00,2.513469999999999871e-01
5.759070086297146918e+04,1.567779999999999951e+00,2.612769999999999815e-01
5.759070121019369981e+04,8.557850000000000179e-01,1.923219999999999930e-01
5.759070155741592316e+04,1.413790000000000102e+00,2.476240000000000108e-01
5.759070190463813924e+04,1.240909999999999958e+00,2.318580000000000085e-01
5.759070225186036259e+04,1.327180000000000026e+00,2.400029999999999941e-01
5.759070259908257867e+04,1.114309999999999912e+00,2.197969999999999924e-01
5.759070294630480930e+04,1.808319999999999927e+00,2.793570000000000220e-01
5.759070329352703266e+04,1.413419999999999899e+00,2.470410000000000106e-01
5.759070364074926329e+04,1.072189999999999976e+00,2.157840000000000036e-01
5.759070398797147209e+04,1.027519999999999989e+00,2.111750000000000016e-01
5.759070433519368817e+04,1.295609999999999928e+00,2.361000000000000043e-01
5.759070468241591880e+04,1.198420000000000041e+00,2.280939999999999912e-01
5.759070502963812760e+04,1.204010000000000025e+00,2.278260000000000007e-01
5.759070537686037278e+04,9.926270000000000371e-01,2.067279999999999951e-01
5.759070572408258158e+04,9.921750000000000291e-01,2.067279999999999951e-01
5.759070607130479766e+04,1.027819999999999956e+00,2.111750000000000016e-01
5.759070641852702829e+04,1.156770000000000076e+00,2.231950000000000045e-01
5.759070676574923709e+04,9.002670000000000394e-01,1.975359999999999894e-01
5.759070711297146772e+04,1.315530000000000088e+00,2.394380000000000119e-01
5.759070746019369108e+04,1.109699999999999909e+00,2.197969999999999924e-01
5.759070780741592171e+04,9.868339999999999890e-01,2.069719999999999893e-01
5.759070815463813778e+04,1.121070000000000011e+00,2.205779999999999963e-01
5.759070850186034659e+04,9.789379999999999749e-01,2.064850000000000019e-01
5.759070884908257722e+04,1.026370000000000005e+00,2.114240000000000008e-01
5.759070919630480057e+04,8.127149999999999652e-01,1.876730000000000065e-01
5.759062662721919332e+04,1.230429999999999913e+00,2.321320000000000050e-01
5.759062697444141668e+04,9.361709999999999754e-01,2.026620000000000088e-01
5.759062732166363276e+04,1.197140000000000093e+00,2.280939999999999912e-01
5.759062766888586339e+04,9.808660000000000156e-01,2.074620000000000075e-01
5.759062801610807946e+04,1.273209999999999953e+00,2.358220000000000038e-01
5.759062836333030282e+04,1.062769999999999992e+00,2.147689999999999877e-01
5.759062871055253345e+04,1.207389999999999963e+00,2.283640000000000114e-01
5.759062905777474225e+04,1.111900000000000110e+00,2.197969999999999924e-01
5.759062940499697288e+04,1.019819999999999949e+00,2.106780000000000042e-01
5.759062975221918896e+04,9.379659999999999664e-01,2.021840000000000026e-01
5.759063009944141231e+04,1.060079999999999911e+00,2.152749999999999941e-01
5.759063044666364294e+04,1.114230000000000054e+00,2.203170000000000128e-01
5.759063079388585174e+04,1.064359999999999973e+00,2.152749999999999941e-01
5.759063114110808237e+04,1.273930000000000007e+00,2.347160000000000080e-01
5.759063148833029845e+04,5.120209999999999484e-01,1.489729999999999943e-01
